,Customer ID,Total Quantity,Total Price,Country,Date,Is Back,Purchase Count
0,16995,-1,-1.25,United Kingdom,2010-12-02,No,1
1,12552,85,13.52,Italy,2011-10-31,Yes,19
2,13192,298,15.9,United Kingdom,2011-05-18,Yes,33
3,16934,399,8.3,United Kingdom,2011-10-16,No,62
4,14976,27,11.9,United Kingdom,2011-01-17,Yes,16
5,17937,564,204.0,United Kingdom,2010-12-12,Yes,13
6,17601,103,30.0,United Kingdom,2011-04-14,No,9
7,18053,302,19.8,United Kingdom,2011-09-30,Yes,20
8,14089,134,16.5,United Kingdom,2011-10-14,No,14
9,15844,134,20.28,United Kingdom,2011-10-24,No,11
10,14796,433,-1.95,United Kingdom,2010-12-08,Yes,51
11,12540,300,91.8,Spain,2010-12-13,Yes,19
12,13810,179,101.7,Germany,2011-10-14,Yes,19
13,12982,288,10.4,United Kingdom,2011-04-11,Yes,28
14,14411,196,91.8,United Kingdom,2011-02-02,No,14
15,16272,224,20.8,United Kingdom,2011-08-15,No,25
16,15237,670,17.7,United Kingdom,2011-04-26,Yes,65
17,17865,387,17.7,United Kingdom,2010-12-10,Yes,36
18,15815,252,125.0,United Kingdom,2011-03-25,Yes,10
19,14778,141,45.0,United Kingdom,2011-02-04,Yes,18
20,12812,164,10.2,Japan,2011-10-26,No,15
21,13292,133,25.5,United Kingdom,2011-02-28,Yes,14
22,17704,175,40.8,United Kingdom,2011-04-14,Yes,16
23,15904,84,4.68,United Kingdom,2011-12-01,No,30
24,17701,109,17.0,United Kingdom,2011-04-01,No,24
25,16415,187,2.1,United Kingdom,2011-10-26,No,54
26,13418,234,12.5,United Kingdom,2010-12-02,Yes,23
27,18176,283,15.3,United Kingdom,2010-12-16,Yes,30
28,13774,192,19.8,United Kingdom,2011-09-19,No,22
29,13804,417,15.8,United Kingdom,2011-02-23,Yes,41
30,12455,1522,14.85,Cyprus,2011-02-16,Yes,41
31,15561,51,89.7,United Kingdom,2011-05-08,Yes,7
32,15970,116,16.5,United Kingdom,2011-02-09,No,11
33,15154,104,2.95,United Kingdom,2011-09-25,Yes,85
34,13570,161,3.9,United Kingdom,2011-04-10,No,27
35,14643,386,23.8,United Kingdom,2010-12-16,Yes,15
36,16239,182,33.6,United Kingdom,2011-06-03,Yes,15
37,15492,327,5.04,United Kingdom,2011-09-26,Yes,28
38,17180,170,1.65,United Kingdom,2011-01-27,Yes,55
39,17418,139,23.6,United Kingdom,2011-01-20,Yes,12
40,15263,89,17.4,United Kingdom,2011-08-25,No,12
41,12406,793,35.4,Denmark,2011-06-09,Yes,49
42,12814,49,85.92,Poland,2011-08-30,No,1
43,13218,88,15.0,United Kingdom,2011-08-04,No,5
44,16364,115,4.95,United Kingdom,2011-07-25,Yes,29
45,16810,-2,-33.9,United Kingdom,2010-12-14,Yes,1
46,14373,17,25.5,United Kingdom,2010-12-16,No,4
47,16325,62,35.4,United Kingdom,2011-04-08,Yes,5
48,17988,14,1.95,United Kingdom,2011-01-17,Yes,13
49,13106,18,76.5,United Kingdom,2011-07-29,Yes,1
50,16727,177,16.5,United Kingdom,2010-12-10,No,46
51,14390,73,-5.95,United Kingdom,2010-12-02,Yes,28
52,15800,108,13.5,United Kingdom,2011-04-07,Yes,14
53,12795,68,15.0,Portugal,2011-11-21,No,13
54,17410,100,20.4,United Kingdom,2011-05-08,Yes,15
55,17041,186,10.5,United Kingdom,2010-12-14,Yes,18
56,18158,254,23.6,United Kingdom,2011-09-12,Yes,24
57,16743,338,2.1,United Kingdom,2010-12-16,Yes,30
58,14270,197,23.8,United Kingdom,2011-01-12,No,29
59,14130,258,15.0,United Kingdom,2011-01-24,No,67
60,17630,112,23.4,United Kingdom,2011-04-21,Yes,19
61,17758,407,31.2,United Kingdom,2011-04-03,Yes,68
62,15234,196,15.0,United Kingdom,2011-03-08,No,14
63,12723,190,1.65,France,2011-10-05,Yes,36
64,12743,319,1.25,Unspecified,2011-07-28,No,134
65,14218,160,4.56,United Kingdom,2011-10-28,No,12
66,17924,60,55.8,United Kingdom,2010-12-01,Yes,2
67,14920,509,17.7,United Kingdom,2011-05-11,No,57
68,18142,292,30.24,United Kingdom,2011-05-08,Yes,9
69,16887,157,6.75,United Kingdom,2011-11-04,No,37
70,17475,178,26.1,United Kingdom,2011-09-21,No,14
71,17548,-132,-19.8,United Kingdom,2010-12-01,Yes,7
72,14808,476,65.0,United Kingdom,2011-06-20,Yes,85
73,16883,54,14.75,United Kingdom,2010-12-03,Yes,17
74,13876,36,15.0,United Kingdom,2011-10-07,No,7
75,15373,42,76.5,United Kingdom,2010-12-03,Yes,11
76,16503,219,31.8,United Kingdom,2010-12-14,Yes,30
77,16634,64,30.0,United Kingdom,2010-12-02,Yes,8
78,17585,571,4.56,United Kingdom,2011-01-05,Yes,28
79,16933,125,-8.5,United Kingdom,2011-04-14,Yes,22
80,15453,97,5.85,United Kingdom,2011-06-05,Yes,41
81,17266,27,3.75,United Kingdom,2011-07-15,Yes,17
82,17079,24,59.4,United Kingdom,2011-09-22,No,2
83,13208,157,0.84,United Kingdom,2011-02-03,Yes,26
84,18045,142,4.25,United Kingdom,2011-10-25,No,47
85,13049,78,9.9,United Kingdom,2011-01-25,Yes,7
86,17274,79,0.83,United Kingdom,2011-11-04,No,27
87,12582,141,13.6,Finland,2011-02-24,Yes,11
88,16611,-1,-8.5,United Kingdom,2011-04-20,Yes,1
89,17720,24,102.0,United Kingdom,2010-12-07,Yes,1
90,16184,26,17.85,United Kingdom,2011-05-12,Yes,9
91,16460,548,4.68,United Kingdom,2011-09-19,Yes,26
92,15028,119,5.95,United Kingdom,2010-12-06,Yes,14
93,13382,131,15.0,United Kingdom,2011-03-04,No,15
94,17019,223,10.2,United Kingdom,2010-12-06,Yes,49
95,12514,440,35.7,Italy,2011-03-17,No,51
96,14623,104,1.68,United Kingdom,2011-04-18,Yes,32
97,12478,236,135.0,Greece,2011-12-06,No,35
98,13078,151,11.9,United Kingdom,2010-12-08,Yes,10
99,17917,56,0.8,United Kingdom,2010-12-12,Yes,29
100,17856,347,5.9,United Kingdom,2011-03-03,Yes,5
101,17160,569,16.5,United Kingdom,2011-04-12,Yes,48
102,14738,83,17.0,United Kingdom,2011-01-27,Yes,11
103,16754,4280,518.4,United Kingdom,2010-12-02,No,2
104,16156,136,14.85,United Kingdom,2011-02-02,Yes,18
105,16628,162,17.7,United Kingdom,2011-04-19,Yes,21
106,15448,232,19.9,United Kingdom,2011-01-31,No,28
107,17172,480,13.92,United Kingdom,2011-09-22,Yes,15
108,15456,434,3.9,United Kingdom,2010-12-15,Yes,26
109,13239,363,18.96,United Kingdom,2011-03-23,No,22
110,16131,540,15.0,United Kingdom,2011-04-14,Yes,24
111,13728,38,15.9,United Kingdom,2011-02-02,Yes,9
112,13169,96,15.6,United Kingdom,2011-04-01,Yes,6
113,14966,187,2.5,United Kingdom,2011-11-25,No,38
114,13402,190,17.85,United Kingdom,2010-12-02,Yes,17
115,12434,-13,-11.55,Australia,2010-12-14,Yes,3
116,17279,48,51.0,United Kingdom,2011-10-13,No,9
117,18114,55,5.95,United Kingdom,2011-02-22,No,28
118,13603,164,6.24,United Kingdom,2011-11-13,No,27
119,15799,181,12.0,United Kingdom,2011-01-09,Yes,22
120,14080,48,10.2,United Kingdom,2011-11-07,No,4
121,16551,281,30.0,United Kingdom,2011-01-07,Yes,11
122,16478,170,15.0,United Kingdom,2011-10-05,Yes,11
123,17651,283,13.2,United Kingdom,2011-06-15,Yes,24
124,13731,166,16.8,United Kingdom,2011-04-07,Yes,20
125,13453,76,23.8,United Kingdom,2011-02-23,Yes,8
126,17957,287,4.98,United Kingdom,2011-10-04,No,30
127,16598,73,9.9,United Kingdom,2011-02-27,Yes,10
128,17813,67,4.25,United Kingdom,2011-09-29,Yes,57
129,16927,490,16.5,United Kingdom,2010-12-13,Yes,2
130,12577,134,1.25,France,2010-12-15,Yes,67
131,15872,212,8.25,United Kingdom,2011-11-25,No,128
132,15864,110,107.4,United Kingdom,2011-01-27,Yes,6
133,16793,146,10.2,United Kingdom,2011-10-13,No,16
134,15355,21,11.9,United Kingdom,2011-10-17,Yes,8
135,15819,522,19.8,United Kingdom,2011-03-08,Yes,41
136,14958,70,10.5,United Kingdom,2011-04-08,Yes,18
137,13685,2904,140.4,United Kingdom,2011-10-10,Yes,8
138,17110,50,16.5,United Kingdom,2011-06-27,No,12
139,14741,114,10.2,United Kingdom,2010-12-02,Yes,9
140,16430,103,25.0,United Kingdom,2011-10-13,No,6
141,14875,100,17.7,United Kingdom,2011-03-22,Yes,5
