,CGPA,Chance of Admit
0,9.65,0.92
1,8.87,
2,8.0,0.72
3,8.67,0.8
4,8.21,0.65
5,9.34,0.9
6,8.604736842105263,0.75
7,7.9,0.68
8,8.0,0.5
9,8.6,0.45
10,8.4,0.52
11,9.0,0.84
12,9.1,0.78
13,8.0,0.62
14,8.2,0.61
15,8.3,0.54
16,8.7,0.66
17,8.0,0.65
18,8.8,0.63
19,8.5,0.62
20,7.9,0.64
21,8.4,0.7
22,9.5,0.94
23,9.7,0.95
24,9.8,0.97
25,9.6,0.94
26,8.8,0.76
27,8.604736842105263,0.44
28,7.2,0.46
29,7.3,0.54
30,8.1,0.65
31,8.3,0.74
32,9.4,0.91
33,9.6,0.9
34,9.8,0.94
35,9.2,0.88
36,8.604736842105263,0.64
37,7.8,0.58
38,7.5,0.52
39,7.7,0.48
40,8.0,0.46
41,8.2,0.49
42,8.5,0.53
43,9.1,0.87
44,9.4,0.91
45,9.1,0.88
46,9.3,0.86
47,9.7,0.89
48,8.85,0.82
49,8.604736842105263,0.78
50,8.3,0.76
51,7.9,0.56
52,8.0,0.78
53,8.1,0.72
54,8.0,0.7
55,7.7,0.64
56,7.4,0.64
57,7.6,
58,6.8,0.36
59,8.3,0.42
60,8.1,0.48
61,8.2,0.47
62,8.2,0.54
63,8.5,0.56
64,8.7,0.52
65,8.92,0.55
66,9.02,0.61
67,8.64,0.57
68,9.22,0.68
69,8.604736842105263,0.78
70,9.64,0.94
71,9.76,0.96
72,9.45,0.93
73,9.04,0.84
74,8.9,0.74
75,8.56,0.72
76,8.72,0.74
77,8.22,0.64
78,7.54,0.44
79,7.36,0.46
80,8.02,0.5
81,9.5,0.96
82,9.22,0.92
83,9.36,0.92
84,9.45,0.94
85,8.66,0.76
86,8.42,0.72
87,8.604736842105263,0.66
88,8.14,0.64
89,8.76,0.74
90,7.92,0.64
91,7.66,0.38
92,8.03,0.34
93,7.88,0.44
94,7.66,0.36
95,7.84,0.42
96,8.0,0.48
97,8.96,0.86
98,9.24,0.9
99,8.88,0.79
100,8.46,0.71
101,8.12,0.64
102,8.25,0.62
103,8.47,0.57
104,9.05,0.74
105,8.78,0.69
106,9.18,0.87
107,9.46,0.91
108,9.38,0.93
109,8.64,0.68
110,8.604736842105263,0.61
111,8.68,0.69
112,8.34,0.62
113,8.56,0.72
114,8.45,0.59
115,9.04,0.66
116,8.604736842105263,0.56
117,7.46,0.45
118,7.28,0.47
119,8.84,0.71
120,9.56,0.94
121,9.48,0.94
122,8.36,0.57
123,8.604736842105263,0.61
124,8.47,0.57
125,8.66,0.64
126,9.32,0.85
127,8.71,0.78
128,9.1,0.84
129,9.35,0.92
130,9.76,0.96
131,8.65,0.77
132,8.56,0.71
133,8.78,0.79
134,9.28,0.89
135,8.77,
136,8.45,0.76
137,8.16,0.71
138,9.08,0.8
139,9.12,0.78
140,9.15,0.84
141,9.36,0.9
142,9.44,0.92
143,9.92,
144,8.96,0.8
145,8.64,0.81
146,8.48,0.75
147,9.11,0.83
148,9.8,0.96
149,8.26,0.79
150,9.43,0.93
151,9.28,0.94
152,9.06,0.86
153,8.75,0.79
154,8.89,0.8
155,8.69,0.77
156,8.34,0.7
157,8.26,0.65
158,8.604736842105263,0.61
159,7.9,0.52
160,7.86,0.57
161,7.46,0.53
162,8.5,0.67
163,8.56,0.68
164,9.01,0.81
165,8.604736842105263,0.78
166,8.33,0.65
167,8.27,0.64
168,7.8,0.64
169,7.98,0.65
170,8.04,0.68
171,9.07,
172,9.13,0.86
173,9.23,0.89
174,8.97,0.87
175,8.87,0.85
176,9.16,0.9
177,9.04,0.82
178,8.604736842105263,0.72
179,8.27,0.73
180,8.16,0.71
181,8.42,0.71
182,7.88,0.68
183,8.8,0.75
184,8.32,0.72
185,9.11,0.89
186,8.68,0.84
187,9.44,0.93
188,9.36,0.93
189,9.08,0.88
190,9.16,0.9
191,8.98,0.87
192,8.94,0.86
193,9.53,0.94
194,8.76,0.77
195,8.52,0.78
196,8.26,0.73
197,8.33,0.73
198,8.43,0.7
199,8.604736842105263,0.72
200,8.54,0.73
201,8.46,0.72
202,9.91,0.97
203,9.87,0.97
204,8.54,0.69
205,8.604736842105263,0.57
206,7.89,0.63
207,8.02,0.66
208,8.16,0.64
209,8.12,0.68
210,9.06,0.79
211,9.14,0.82
212,9.66,0.95
213,8.604736842105263,0.96
214,9.42,0.94
215,9.36,0.93
216,9.26,0.91
217,9.13,0.85
218,8.97,
219,8.42,0.74
220,8.75,0.76
221,8.56,0.75
222,8.79,0.76
223,8.45,0.71
224,8.23,0.67
225,8.03,0.61
226,8.45,0.63
227,8.53,0.64
228,8.67,0.71
229,9.01,0.82
230,8.65,0.73
231,8.33,0.74
232,8.27,
233,8.07,0.64
234,9.31,0.91
235,9.23,0.88
236,9.17,0.85
237,9.19,0.86
238,8.37,0.7
239,7.89,0.59
240,7.68,0.6
241,8.15,0.65
242,8.76,0.7
243,9.04,0.76
244,8.56,0.63
245,9.02,0.81
246,8.73,0.72
247,8.48,0.71
248,8.604736842105263,0.8
249,8.83,0.77
250,8.57,0.74
251,9.0,
252,8.54,0.71
253,9.68,0.93
254,9.12,0.85
255,8.37,0.79
256,8.56,0.76
257,8.64,0.78
258,8.76,0.77
259,9.34,0.9
260,9.13,0.87
261,8.09,0.71
262,8.36,0.7
263,8.79,0.7
264,8.76,0.75
265,8.68,0.71
266,8.45,0.72
267,8.17,0.73
268,9.14,0.83
269,8.34,0.77
270,8.22,0.72
271,7.86,0.54
272,7.64,
273,8.01,0.52
274,7.95,0.58
275,8.96,0.78
276,9.45,0.89
277,8.62,0.7
278,8.49,0.66
279,8.73,0.67
280,8.64,0.68
281,9.11,0.8
282,8.79,0.81
283,8.9,0.8
284,9.66,0.94
285,9.26,0.93
286,9.19,0.92
